idx,date,stars,review_text,vader_score,sentiment_bucket,sentiment_label,kitchen_pros,kitchen_cons,service_pros,service_cons,mgmt_pros,mgmt_cons
2,2024-08-27 22:20:23,5,Unser Stamm-BurgerKing ;-),0.25,Positive,Positiv,;-),,Freundlichkeit angezeigt durch Smiley,,"Positives Lob ('Unser Stamm'-Ausdruck) zeigt eine loyale Kundschaft, was auf effektive Managementstrategien hinweist.",Kein negatives Zitat oder Hinweis extrahiert; 'Kurzer' und ';-)' implizieren jedoch wahrscheinlich ein angenehmes Ambiente.
8,2024-08-18 18:07:01,4,Lugar limpio y tranquilo. La chica que nos ha atendido (Natalia) ha sido muy paciente con nosotros pese a la diferencia de idioma.,0.5859,Positive,Positiv,La chica que nos ha atendido (Natalia) ha sido muy paciente con nosotros pese a la diferencia de idioma.,,La chica que nos ha atendido (Natalia) ha sido muy paciente con nosotros pese a la diferencia de idioma.,,"Lugar limpio y tranquilo, Natalia es muy paciente.",
9,2024-08-18 16:10:56,5,Sehr freundliche Mitarbeiter und Bedienung in einem sehr netten Ton!,0.0,Neutral,Positiv,,,Sehr freundliche Mitarbeiter,,Freundliches Personal mit positivem Auftreten,
10,2024-08-17 18:47:20,1,"Unsere Bestellung hat lange gedauert und wurde sogar nach mehrmaliger Wiederholung von der Servicekraft trozdem falsch zubereitet. Wir waren einer der ersten in der Schlange und haben bestellt und waren einer der letzteren die ihr Essen bekommen haben. Unsere Bestellung beinhaltete 2 Burger und 1 Snack. Die Angestellten sahen zwar bemüht aus (teilweise) jedoch war alles ein riesen Chaos hinter der Theke. Die Pommes von unseren Freunden waren extrem trocken und haben geschmeckt als wären die schon seit 20 min da rumgelegen. Das Restaurant sieht etwas trostlos aus. Allgemein die Stimmung als man in diesen Laden reingeht war direkt uneinladend. Die Burger schmecken normal wie bei jedem Burgerking auch, jedoch sahen diese aus wie als hätten man die lieblos dahin geklatscht. All in all würde ich dieses Restaurant nicht empfehlen.",-0.9911,Negative,Negativ,,Die Pommes waren extrem trocken und haben geschmeckt als wären sie schon seit 20 min da rumgelegen; Unangenehme Erfahrung beim Service mit langen Wartezeiten und wiederholter falscher Zubereitung.,Die Angestellten wirkten bemüht,,,
11,2024-08-17 18:12:18,1,"Absoluter Saftladen, geht hier auf keinen Fall essen",0.0,Neutral,Negativ,,,,"Nicht gehen willst du zum Saftladen (positive Neigung, dass die Servicequalität nicht stimmt)",Kein erwähnenswertes positive Zitat gefunden,
12,2024-08-17 17:49:28,1,Kurz & knapp. Keine Self order Terminal. Kein Kundenbindungsprogramm mit Kronen. Nicht zu empfehlen.,0.0,Neutral,Negativ,,,,,,Kein Kundenbindungsprogramm mit Kronen
13,2024-08-16 19:53:37,1,"Wir haben über Lieferando bestellt und das Essen war so katastrophal, dass wir in Gelächter ausgebrochen sind. Liebe Burger King Leute... das könnt ihr doch nicht verkaufen, also wirklich, das ist echt der absolute Brüller!",-0.636,Negative,Negativ,,,,,,Das Essen war katastrophal und führte zu Gelächter aufgrund mangelhafter Qualität.
14,2024-08-14 19:50:04,3,"Naja, man wird nicht wahr genommen, die Bestellung Katastrophe! Es ist von mir abzuraten!",-0.6688,Negative,Negativ,,Katastrophen bei der Bestellung und möglicherweise schlechter Geschmack oder Frische (aus dem Zitat: ,,"Kurzes negatives Zitat: 'Es ist von mir abzuraten wegen der Bestellkatastrophe,' was auf eine Ungenauigkeit in den Lieferungen oder ein schlechtes Serviceerlebnis hinweist.",,"man wird nicht wahr genommen, die Bestellung Katastrophe"
15,2024-08-12 16:43:00,4,"Sehr warm, keine Klimaanlage. Außenbereich war besetzt. Nichts für heiße Tage.",-0.4588,Negative,Negativ,,,,,Warmes Ambiente,
16,2024-08-08 10:16:00,2,Hatte danach Bauchweh,0.0,Neutral,Negativ,,,,Hatte danach Bauchweh,,
17,2024-08-06 22:39:00,5,Efe is der beste BK Mitarbeiter weltweit wenn ihr da seid fragt nach ihm. ps: macht ihn Filialleiter dann läuft der Laden,0.0,Neutral,Positiv,,,"Efe ist ein ausgezeichneter Bäckermeister, was auf seine Fähigkeiten und Freundlichkeit hinweist.",,"Efe ist ein hochgeschätzter Mitarbeiter, was auf eine effektive Managementstruktur hinweist.",Es besteht die Vermutung einer Ladenliefersitzungsdynamik unter Führungskräften.
18,2024-08-05 10:23:00,3,Keine Automaten und Laden nimmt nicht am Treueprogramm teil.,0.0,Neutral,Negativ,,,,"Lack von Service (keine erwähnte Bestellgenauigkeit, Kommunikation oder Sauberkeit)",Nicht anhand des bereitgestellten Textes können Managementfakten extrahiert werden.,Keine automatisierte Einrichtung impliziert potenzielle organisatorische Schwierigkeiten und ein möglicher Mangel an Kundenkomfort für schnelle Transaktionen.
19,2024-08-02 14:42:00,1,Toiletten Hygiene nicht okay,0.2263,Positive,Negativ,,,,,,Hygienebarriere in den Toiletten ist besorgniserregend
21,2024-08-01 10:18:00,1,Horrible just horrible asked 2 TIMES for a cheese burger with no pickles and guess what they put extra pickles fricking hate this place.,-0.9216,Negative,Negativ,,,,,,"Gasten beklagen sich über die Organisation aufgrund wiederholter Nachfrage ohne Erfolg und das Hinzufügen von Pickeln, was auf eine mangelhafte Kundenansprache oder Fehlkommunikation hinweist."
22,2024-07-29 12:59:56,3,Obsluha hrúza 30minut čekání na jídlo a potom ani nedojde celé.,0.0,Neutral,Negativ,,,,,,"Kurze Wartezeit von 30 minuten auf Essen, was ansprechende Bedienung impliziert"
23,2024-07-22 17:55:13,5,"Sehr höfliches Personal, sehr sauber, und sehr schnell zubereitet.",0.0,Neutral,Positiv,sehr schnell zubereitet,,"sehr höfliches Personal, sehr sauber",,sehr sauber,
24,2024-07-19 00:08:30,2,"Food is great, but service not so much. Wanted to order only an whopper burger. But that was for some reason not possible. No explanation whatsoever given, only whopper menu is possible in this place. Weird.",0.4276,Positive,Negativ,,"Wanted to order only an whopper burger. But that was for some reason not possible. No explanation whatsoever given, only whopper menu is possible in this place. Weird.",,"Kurzes negatives Zitat: 'Service nicht so viel, nur WHOPEPER-Burger möglich ohne Erklärung.'",,Service ist nicht so gut; Kunden können bestimmte Bestellungen ohne Erklärung oder Optionen für weniger komplexe Gerichte nicht aufgeben.
25,2024-07-08 19:43:00,1,"Einer wenn nicht sogar der schlechteste Burger King Deutschlands. Eine Auswahl an unangenehmen Dingen: Mayo/Ketchup kostet ab der ersten Tüte Extra, 2 Personen für das ganze Restaurant, Von 4 Tischen im außenbereich war keiner sauber Wir mussten 15min warten bevor unsere Bestellung aufgenommen wurde Die Bestellungen des Drive In konnte jeder im Restaurant mithören Die Dame hinter dem Tresen sah nicht besonders gepflegt aus, war dazu noch unfreundlich und äußerst schwer von Begriff.",-0.9485,Negative,Negativ,,"Von 4 Tischen im außenbereich war keiner sauber; Die Bestellungen des Drive In konnte jeder im Restaurant mithören; Die Dame hinter dem Tresen sah nicht besonders gepflegt aus, war dazu noch unfreundlich und äußerst schwer von Begriff",Die Bestellungen des Drive In konnte jeder im Restaurant mithören,,,
28,2024-07-01 19:10:00,1,Ganz lange warten müssen obwohl niemand vor mir war im Drive in. Insgesamt 3x Bestellung aufgegeben und 3x anhören müssen dass der Mayo 1 Euro kostet. Am Ende 1 Euro gezahlt und keine Mayo in der Tüte 😏,-0.5994,Negative,Negativ,,,,,,"Ganz lange warten müssen obwohl niemand vor mir war im Drive in; dreimal Bestellung aufgeben, ohne die gewünschten Artikel zu erhalten; Mayo kostet ein Euro und fehlt in der Tüte am Ende."
29,2024-06-28 17:48:17,5,Essen war gut und der Service sehr nett und Aufmerksam.,-0.5994,Negative,Positiv,Essen war gut,,Service sehr nett und Aufmerksam,,Service sehr nett und Aufmerksam,
30,2024-06-28 17:30:41,2,"Es gab keine Mayo bei zum Menü mit der Begründung, dass das in dem Restaurant mit Coupons nicht geht. Die Mayo sollte extra 40 Cent kosten. Die Servietten waren abgezählt und gab es nur auf Nachfrage extra, wie auch die Strohhalme. Kein Eis im Getränk. Der Mann hinter der Kasse war an sich nett und konnte laut seiner Aussage nichts dafür. Das Essen war in Ordnung.",-0.9661,Negative,Negativ,,,Der Mann hinter der Kasse war an sich freundlich,,Der Mann hinter der Kasse war an sich freundlich.,
31,2024-06-21 10:40:38,3,Zu heiß da drin und draußen wenig Platz zum sitzen,0.0,Neutral,Negativ,,,,,,
32,2024-06-21 03:45:20,4,"Eine normale Burger King Filiale in der Nähe des Technik Museums, dementsprechend geeignet für einen Besuch nach dem man dort war. Leider waren die Mitarbeiter dort etwas überarbeitet und man musste eine Weile auf das Essen warten. Nicht vorhandende Bestell-Terminals tragen dazu bei. Essen war gut.",-0.9136,Negative,Neutral,Essen war gut,,Essen war gut,,Essen war gut.,Mitarbeiter waren etwas überarbeitet und man musste eine Weile auf das Essen warten; keine Bestell-Terminals vorhanden.
33,2024-06-20 17:20:56,1,"Dreckige Tische kaltes, ungenießbares Essen und schläfriges Personal nicht zu empfehlen noch nie so schlecht gegessen. !",0.0,Neutral,Negativ,,,,,,"dreckige Tische, ungenießbares Essen und schläfriges Personal"
36,2024-06-09 06:50:00,4,"One of the places, where one places order with human interactions, I was pleasantly surprised.",0.6124,Positive,Positiv,Pleasantly surprised by the experience,,Pleasantly surprised by human interactions,,Pleasant surprise in human interaction during ordering,
39,2024-06-02 12:46:00,1,"Jr King bestellt, kein quetschie mehr da einfach nichts gesagt, junior frag nach seinem quetschie ich frage an der Kasse nach und bekomme die Antwort pech ist halt alle",-0.5994,Negative,Negativ,,,,,,"Junior erhält keine klare Antwort zu seiner Bestellung bei der Kasse, was auf Probleme mit Organisation hinweist."
40,2024-05-29 12:18:12,2,"Das Personal ist zwar sehr freundlich und bemüht, aber so schlecht unterwiesen und eingearbeitet, dass es selbst bei geringem Kundenandrang zu langen Wartezeiten kommt. Da herrscht Handlungsbedarf seitens der Restaurantleitung.",0.0,Neutral,Negativ,,"Handlungsbedarf bei der Einarbeitung und Effizienz, was zu langen Wartezeiten auch mit geringem Kundenandrang führt",Das Personal ist sehr freundlich,lange Wartezeit aufgrund unzureichender Einarbeitung,,"so schlecht unterwiesen und eingearbeitet, dass es selbst bei geringem Kundenandrang zu langen Wartezeiten kommt"
43,2024-05-26 21:31:16,4,"Burger wie immer. Personal ist ne Wucht und superfreundlich. Ambiente eher normal, keine Bestellterminals aber App geht immer.",0.0,Neutral,Positiv,superfreundlich Personal,,superfreiwillige freundliche Mitarbeiter,,Personal ist sehr freundlich,
45,2024-05-25 07:13:22,2,"Die haben jetzt auch Burger, die gar keine Burger mehr sind?? Also kein Fleisch mehr?? Wow….aber abgesehen davon leider Atmosphäre eines Tennisclubheims, Burger waren auch schon größer (ich war jetzt zwei Jahre nicht mehr beim König), aber die Preise haben mich erst einmal geschockt und als dann mein Whopper jr. mit drei Bissen verschwand war ich schon enttäuscht. Hähnchen-Nuggets lauwarm und alles andere als knusprig. Und wir waren dort, als noch 2 Gäste im Restaurant saßen, also keine stressige Stoßzeit oder ähnliches…",-0.97,Negative,Negativ,,"Hähnchen-Nuggets lauwarm und alles andere als knusprig, Atmosphäre eines Tennisclubheims",,,,
46,2024-05-22 21:13:22,1,"Ich glaube die schlechteste BK die habe ich mal gesehen im mein gantze leben ! … ich habe wirklich gekotz zu hause , ohne spass … extrem schlect",-0.8439,Negative,Negativ,,,,,,"extrem schlecht, kotspeichernd und straßenspatzig"
47,2024-05-22 17:59:51,1,"Worst experience at Burger King ever, the food we received was old and who knows for how long they got it with them. We tried to complain with the cashier and she was very rude. I will never come back here again",-0.8718,Negative,Negativ,,,,,,"Kurzes negatives Zitat: 'I will never come back here again', Hinweis auf schlechte Organisation und eine launische Kassiersituation."
