query,name,reviews,rating,review_id,review_text,review_rating,review_datetime_utc
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSUNIMzZ1S0dBEAE,,5,09-10-2024 18:14
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSUQ3dDdDLVZnEAE,,5,08/29/2024 18:05:36
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSUQ3bzVDM0xBEAE,Unser Stamm-BurgerKing ;-),5,08/27/2024 22:20:23
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUQ3cFl1UnN3RRAB,,5,08/26/2024 13:17:16
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSUQ3Mll6M0ZREAE,,4,08/26/2024 00:47:16
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUQ3dnRESW13RRAB,,3,08/24/2024 20:37:12
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUQ3NG9tc3RBRRAB,,5,08/22/2024 19:58:26
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUQ3aU9mN3NnRRAB,,5,08/20/2024 15:32:31
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUM3NThLTC1nRRAB,Lugar limpio y tranquilo. La chica que nos ha atendido (Natalia) ha sido muy paciente con nosotros pese a la diferencia de idioma.,4,08/18/2024 18:07:01
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUM3cF9MaHpnRRAB,Sehr freundliche Mitarbeiter und Bedienung in einem sehr netten Ton!,5,08/18/2024 16:10:56
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSUM3dGFPZlJREAE,"Unsere Bestellung hat lange gedauert und wurde sogar nach mehrmaliger Wiederholung von der Servicekraft trozdem  falsch zubereitet. Wir waren einer der ersten in der Schlange und haben bestellt und waren einer der letzteren die ihr Essen bekommen haben. Unsere Bestellung beinhaltete 2 Burger und 1 Snack. Die Angestellten sahen zwar bemüht aus (teilweise) jedoch war alles ein riesen Chaos hinter der Theke. Die Pommes von unseren Freunden waren extrem trocken und haben geschmeckt als wären die schon seit 20 min da rumgelegen. Das Restaurant sieht etwas trostlos aus. Allgemein die Stimmung als man in diesen Laden reingeht war direkt uneinladend. Die Burger schmecken normal wie bei jedem Burgerking auch, jedoch sahen diese aus wie als hätten man die lieblos dahin geklatscht. All in all würde ich dieses Restaurant nicht empfehlen.",1,08/17/2024 18:47:20
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSUM3dGE3Qk1BEAE,"Absoluter Saftladen, geht hier auf keinen Fall essen",1,08/17/2024 18:12:18
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUM3dGR6eXVnRRAB,Kurz & knapp. Keine Self order Terminal. Kein Kundenbindungsprogramm mit Kronen. Nicht zu empfehlen.,1,08/17/2024 17:49:28
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSUM3eWFleU9REAE,"Wir haben über Lieferando bestellt und das Essen war so katastrophal, dass wir in Gelächter ausgebrochen sind. Liebe Burger King Leute... das könnt ihr doch nicht verkaufen,  also wirklich, das ist echt der absolute Brüller!",1,08/16/2024 19:53:37
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUMwMzhidF9RRRAB,"Naja, man wird nicht wahr genommen, die Bestellung Katastrophe! Es ist von mir abzuraten!",3,08/14/2024 19:50:04
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSUM3eEwtWUlBEAE,"Sehr warm, keine Klimaanlage. Außenbereich war besetzt. Nichts für heiße Tage.",4,08-12-2024 16:43
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSURiN2VtN2JREAE,Hatte danach Bauchweh,2,08-08-2024 10:16
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSURicVpteVZ3EAE,Efe is der beste BK Mitarbeiter weltweit wenn ihr da seid fragt nach ihm. ps: macht ihn Filialleiter dann läuft der Laden,5,08-06-2024 22:39
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSURiOXZxakp3EAE,Keine Automaten und Laden nimmt nicht am Treueprogramm teil.,3,08-05-2024 10:23
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSURiOU52NDhRRRAB,Toiletten Hygiene nicht okay,1,08-02-2024 14:42
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSURiaU9qajhRRRAB,,5,08-01-2024 11:21
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSURiOE1tQ0JBEAE,Horrible just horrible asked 2 TIMES for a cheese burger with no pickles and guess what they put extra pickles fricking hate this place.,1,08-01-2024 10:18
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUNiZ19UZjVBRRAB,Obsluha hrúza 30minut čekání na jídlo a potom ani nedojde celé.,3,07/29/2024 12:59:56
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUNieU9pUXpnRRAB,"Sehr höfliches Personal, sehr sauber, und sehr schnell zubereitet.",5,07/22/2024 17:55:13
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSURydGVEZ0tnEAE,"Food is great, but service not so much.  Wanted to order only an whopper burger. But that was for some reason not possible.  No explanation whatsoever given, only whopper menu is possible in this place. Weird.",2,07/19/2024 00:08:30
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUNycWNXeDRBRRAB,"Einer wenn nicht sogar der schlechteste Burger King Deutschlands.
Eine Auswahl an unangenehmen Dingen:
Mayo/Ketchup kostet ab der ersten Tüte Extra,
2 Personen für das ganze Restaurant,
Von 4 Tischen im außenbereich war keiner sauber
Wir mussten 15min warten bevor unsere Bestellung aufgenommen wurde
Die Bestellungen des Drive In konnte jeder im Restaurant mithören
Die Dame hinter dem Tresen sah nicht besonders gepflegt aus, war dazu noch unfreundlich und äußerst schwer von Begriff.",1,07-08-2024 19:43
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSUNyenNtNFdREAE,,5,07-07-2024 07:08
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUNyNXZDNHp3RRAB,,2,07-06-2024 16:48
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSURMcDhMMl9BRRAB,Ganz lange warten müssen obwohl niemand vor mir war im Drive in. Insgesamt 3x Bestellung aufgegeben und 3x anhören müssen dass der Mayo 1 Euro kostet. Am Ende 1 Euro gezahlt und keine Mayo in der Tüte 😏,1,07-01-2024 19:10
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSURMeWJfV0ZREAE,Essen war gut und der Service sehr nett und Aufmerksam.,5,06/28/2024 17:48:17
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSURMeWYzR3V3RRAB,"Es gab keine Mayo bei zum Menü mit der Begründung, dass das in dem Restaurant mit Coupons nicht geht. Die Mayo sollte extra 40 Cent kosten. Die Servietten waren abgezählt und gab es nur auf Nachfrage extra, wie auch die Strohhalme. Kein Eis im Getränk. Der Mann hinter der Kasse war an sich nett und konnte laut seiner Aussage nichts dafür. Das Essen war in Ordnung.",2,06/28/2024 17:30:41
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSUNMdVlfV0FnEAE,Zu heiß da drin und draußen wenig Platz zum sitzen,3,06/21/2024 10:40:38
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSUNMNllHRVpnEAE,"Eine normale Burger King Filiale in der Nähe des Technik Museums, dementsprechend geeignet für einen Besuch nach dem man dort war. Leider waren die Mitarbeiter dort etwas überarbeitet und man musste eine Weile auf das Essen warten. Nicht vorhandende Bestell-Terminals tragen dazu bei. Essen war gut.",4,06/21/2024 03:45:20
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUNMaVplZm5nRRAB,"Dreckige Tische kaltes, ungenießbares Essen und schläfriges Personal nicht zu empfehlen noch nie so schlecht gegessen. !",1,06/20/2024 17:20:56
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUNMd2E2aTZnRRAB,,1,06/19/2024 22:19:58
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSUNMZ3E2dlBBEAE,,4,06/16/2024 21:55:58
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUR6cXNxLTdRRRAB,"One of the places, where one places order with human interactions, I was pleasantly surprised.",4,06-09-2024 06:50
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSUR6a3BXVmJREAE,,2,06-08-2024 22:13
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUN6NGQtcjF3RRAB,,4,06-02-2024 18:05
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUN6X3JtRnBnRRAB,"Jr King bestellt, kein quetschie mehr da einfach nichts gesagt, junior frag nach seinem quetschie ich frage an der Kasse nach und bekomme die Antwort pech ist halt alle",1,06-02-2024 12:46
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSURUbjdlc2J3EAE,"Das Personal ist zwar sehr freundlich und bemüht, aber so schlecht unterwiesen und eingearbeitet, dass es selbst bei geringem Kundenandrang zu langen Wartezeiten kommt. Da herrscht Handlungsbedarf seitens der Restaurantleitung.",2,05/29/2024 12:18:12
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSURUczlYM19BRRAB,,5,05/27/2024 17:43:53
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSURUMDhHSm1nRRAB,,3,05/27/2024 15:00:53
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSURUbmY2cWxRRRAB,"Burger wie immer.
Personal ist ne Wucht und superfreundlich.
Ambiente eher normal, keine Bestellterminals aber App geht immer.",4,05/26/2024 21:31:16
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSURUbmRpaURnEAE,,1,05/26/2024 20:49:46
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSURUd2JDamFREAE,"Die haben jetzt auch Burger, die gar keine Burger mehr sind?? Also kein Fleisch mehr?? Wow….aber abgesehen davon leider Atmosphäre eines Tennisclubheims, Burger waren auch schon größer (ich war jetzt zwei Jahre nicht mehr beim König),
aber die Preise haben mich erst einmal geschockt und als dann mein Whopper jr. mit drei Bissen verschwand war ich schon enttäuscht. Hähnchen-Nuggets lauwarm und alles andere als knusprig. Und wir waren dort, als noch 2 Gäste im Restaurant saßen, also keine stressige Stoßzeit oder ähnliches…",2,05/25/2024 07:13:22
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSURUbE5yTEhnEAE,"Ich glaube die schlechteste BK die habe ich mal gesehen im mein gantze leben ! … ich habe wirklich gekotz zu hause , ohne spass … extrem schlect",1,05/22/2024 21:13:22
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChZDSUhNMG9nS0VJQ0FnSURUcE9QU09nEAE,"Worst experience at Burger King ever, the food we received was old and who knows for how long they got it with them. We tried to complain with the cashier and she was very rude. I will never come back here again",1,05/22/2024 17:59:51
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSURUb0xHdTFRRRAB,Einfach 0,1,05/21/2024 09:23:03
"BURGER KING ®, In der Au 23, 74889 Sinsheim",Burger King Sinsheim,1972,03-Mar,ChdDSUhNMG9nS0VJQ0FnSUNUNzl1em1BRRAB,,4,05/20/2024 17:40:28
